承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
620559101,イソコナゾール硝酸塩腟錠３００ｍｇ「Ｆ」,イソコナゾール硝酸塩腟錠３００ｍｇ,イソコナゾール硝酸塩腟錠３００ＭＧ,,,False
620559609,メチルエルゴメトリン錠０．１２５ｍｇ「あすか」,ﾒﾁﾙｴﾙｺﾞﾒﾄﾘﾝ,ﾒﾁﾙｴﾙｺﾞﾒﾄﾘﾝ,,,False
620559802,メチルエルゴメトリン注０．２ｍｇ「あすか」　０．０２％１ｍＬ,ﾒﾁﾙｴﾙｺﾞﾒﾄﾘﾝﾁｭｳ0.2MGｱ,ﾒﾁﾙｴﾙｺﾞﾒﾄﾘﾝﾁｭｳ0.2MGｱ,,,False
620560701,ヘモリンガル舌下錠０．１８ｍｇ,ﾍﾓﾘﾝｶﾞﾙｾﾞｯｶ,ﾍﾓﾘﾝｶﾞﾙｾﾞｯｶ,,,False
620564307,フラボキサート塩酸塩錠２００ｍｇ「サワイ」,ﾌﾗﾎﾞｷｻｰﾄｴﾝ,ﾌﾗﾎﾞｷｻｰﾄｴﾝ,,,False
620564912,リトドリン塩酸塩錠５ｍｇ「Ｆ」,リトドリン塩酸塩錠５ｍｇ,リトドリン塩酸塩錠５ＭＧ,,,False
620564913,リトドリン塩酸塩錠５ｍｇ「日新」,リトドリン塩酸塩錠５ｍｇ,リトドリン塩酸塩錠５ＭＧ,,,False
620564918,リトドリン塩酸塩錠５ｍｇ「ＹＤ」,リトドリン塩酸塩錠５ｍｇ,リトドリン塩酸塩錠５ＭＧ,,,False
620565302,リトドリン塩酸塩錠５ｍｇ「あすか」,リトドリン塩酸塩錠５ｍｇ,リトドリン塩酸塩錠５ＭＧ,,,False
620567705,オキシブチニン塩酸塩錠３ｍｇ「サワイ」,オキシブチニン塩酸塩錠３ｍｇ,オキシブチニン塩酸塩錠３ＭＧ,OXYBUTYNIN,DB01062,True
620567901,オキシブチニン塩酸塩錠１ｍｇ「サワイ」,オキシブチニン塩酸塩錠１ｍｇ,オキシブチニン塩酸塩錠１ＭＧ,OXYBUTYNIN,DB01062,True
620568901,エルサメット配合錠,オオウメガサソウエキス０．５ｍｇ・ハコヤナギエキス等配合錠,オオウメガサソウエキス０．５ＭＧ・ハコヤナギエキス等配合錠,,,False
620569501,エルサメットＳ配合錠,オオウメガサソウエキス１．０ｍｇ・ハコヤナギエキス等配合錠,オオウメガサソウエキス１．０ＭＧ・ハコヤナギエキス等配合錠,,,False
620569916,リトドリン塩酸塩点滴静注液５０ｍｇ「日医工」　１％５ｍＬ,ﾘﾄﾄﾞﾘﾝｴﾝ,ﾘﾄﾄﾞﾘﾝｴﾝ,,,False
620570101,リトドリン塩酸塩点滴静注液５０ｍｇ「Ｆ」　１％５ｍＬ,ﾘﾄﾄﾞﾘﾝｴﾝ,ﾘﾄﾄﾞﾘﾝｴﾝ,,,False
620570202,リトドリン塩酸塩点滴静注液５０ｍｇ「あすか」　１％５ｍＬ,ﾘﾄﾄﾞﾘﾝｴﾝ,ﾘﾄﾄﾞﾘﾝｴﾝ,,,False
620570501,ハイポライト消毒液１０％,ﾊｲﾎﾟﾗｲﾄｼｮｳﾄﾞｸｴｷ10%,ﾊｲﾎﾟﾗｲﾄｼｮｳﾄﾞｸｴｷ10%,,,False
